Codes,Picture,Family,Gruppo Prodotto,Product Name,Description EN,Description IT,Description ES,Description DE,Description FR,Description PT,EAN,Launch Date,"BOM without labor cost 
(lotti da 500 pz)",Purchases shipp. and cust.,"Labour Cost 
(24 €/h)",Production Cost,% Annual Fail rate,1 year backend cost,% Markup,Radice,1-PHASE,3-PHASE,TYPE 1,TYPE 2,CABLE 5 m,CABLE 7 m,SOCKET,ISO 15-118,LCD screen,RFID,RCBO (P),POP + SPD,MID,SCHUKO ,Status
DB08IT20M4,,AC Chargers,Dazebox C,Dazebox C,"Dazebox C single-phase 20 A, 4.6 kW, 4 m Type 2 cable with connector holder, cable holder, Bluetooth and WiFi connectivity, non-identifying RFID reader.","Dazebox C monofase 20 A, 4,6 kW, cavo 4 m tipo 2 e porta connettore, portacavo, connettività Bluetooth e WiFi e lettore RFID non identificativo","Dazebox C monofásica 20 A, 4,6 kW, cable de 4 m tipo 2 y soporte para conector, soporte para cable, conectividad Bluetooth y WiFi y lector RFID no identificativo","Dazebox C einphasig 20 A, 4,6 kW, Typ-2-Kabel 4 m mit Steckhalter, Kabelhalter, Bluetooth- und WiFi-Konnektivität sowie nicht-identifizierender RFID-Leser","Dazebox C monophasé 20 A, 4,6 kW, câble type 2 de 4 m avec support de connecteur, porte-câble, connectivité Bluetooth et WiFi et lecteur RFID non identifiant","Dazebox C monofásico 20 A, 4,6 kW, cabo de 4 m tipo 2 e suporte para conector, porta-cabos, conectividade Bluetooth e WiFi e leitor RFID não identificativo",,September 2025,"€ 157,86","€ 2,86","€ 9,10","€ 169,82","3,0%","€ 2,00","18,0%",Global,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DB08ITM5,,AC Chargers,Dazebox C,Dazebox C,"Dazebox C single-phase 32 A, 7.4 kW, 5 m Type 2 cable with shutter and connector holder, cable holder, Bluetooth and WiFi connectivity, non-identifying RFID reader.","Dazebox C monofase 32 A, 7,4 kW, cavo 5 m tipo 2 con shutter e porta connettore, portacavo, connettività Bluetooth e WiFi e lettore RFID non identificativo","Dazebox C monofásica 32 A, 7,4 kW, cable de 5 m tipo 2 con shutter y soporte para conector, soporte para cable, conectividad Bluetooth y WiFi y lector RFID no identificativo","Dazebox C einphasig 32 A, 7,4 kW, Typ-2-Kabel 5 m mit Shutter und Steckhalter, Kabelhalter, Bluetooth- und WiFi-Konnektività sowie nicht-identifizierender RFID-Leser","Dazebox C monophasé 32 A, 7,4 kW, câble type 2 de 5 m avec shutter et support de connecteur, porte-câble, connectivité Bluetooth et WiFi et lecteur RFID non identifiant","Dazebox C monofásico 32 A, 7,4 kW, cabo de 5 m tipo 2 com shutter e suporte para conector, porta-cabos, conectividade Bluetooth e WiFi e leitor RFID não identificativo",8054320764403,July 2025,"€ 170,16","€ 2,86","€ 9,10","€ 182,12","3,0%","€ 2,00","21,0%",Global,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DB08ITM7,,AC Chargers,Dazebox C,Dazebox C,"Dazebox C single-phase 32 A, 7.4 kW, 7 m Type 2 cable with shutter and connector holder, cable holder, Bluetooth and WiFi connectivity, non-identifying RFID reader.","Dazebox C monofase 32 A, 7,4 kW, cavo 7 m tipo 2 con shutter e porta connettore, portacavo, connettività Bluetooth e WiFi e lettore RFID non identificativo","Dazebox C monofásica 32 A, 7,4 kW, cable de 7 m tipo 2 con shutter y soporte para conector, soporte para cable, conectividad Bluetooth y WiFi y lector RFID no identificativo","Dazebox C einphasig 32 A, 7,4 kW, Typ-2-Kabel 7 m mit Shutter und Steckhalter, Kabelhalter, Bluetooth- und WiFi-Konnektivität sowie nicht-identifizierender RFID-Leser","Dazebox C monophasé 32 A, 7,4 kW, câble type 2 de 7 m avec shutter et support de connecteur, porte-câble, connectivité Bluetooth et WiFi et lecteur RFID non identifiant","Dazebox C monofásico 32 A, 7,4 kW, cabo de 7 m tipo 2 com shutter e suporte para conector, porta-cabos, conectividade Bluetooth e WiFi e leitor RFID não identificativo",8054320764410,July 2025,"€ 188,16","€ 2,86","€ 9,10","€ 200,12","3,0%","€ 2,00","21,0%",Global,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01IT32M5,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T single-phase 32 A, 7.4 kW, 5 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated shunt trip coil, white cover.","Dazebox Home T monofase 32 A, 7,4 kW, cavo 5 m tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, bobina di sgancio integrata, cover bianca",,"Dazebox Home T einphasig 32 A, 7,4 kW, Typ-2-Kabel 5 m, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierte Auslösespule, weiße cover","Dazebox Home T monophasé 32 A, 7,4 kW, câble type 2 de 5 m, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320760764,May 2023,"€ 159,82","€ 3,15","€ 11,10","€ 174,06","1,5%","€ 2,50","41,0%",Italy,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01IT32M7,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T single-phase 32 A, 7.4 kW, 7 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated shunt trip coil, white cover.","Dazebox Home T monofase 32 A, 7,4 kW, cavo 7 m tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, bobina di sgancio integrata, cover bianca",,"Dazebox Home T einphasig 32 A, 7,4 kW, Typ-2-Kabel 7 m, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierte Auslösespule, weiße cover","Dazebox Home T monophasé 32 A, 7,4 kW, câble type 2 de 7 m, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320760771,May 2023,"€ 173,23","€ 3,15","€ 11,10","€ 187,47","1,5%","€ 2,50","41,0%",Italy,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01IT32T5,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T three-phase 32 A, 22.2 kW, 5 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated shunt trip coil, white cover.","Dazebox Home T trifase 32 A, 22,2 kW, cavo 5 m tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, bobina di sgancio integrata, cover bianca",,"Dazebox Home T dreiphasig 32 A, 22,2 kW, Typ-2-Kabel 5 m, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierte Auslösespule, weiße cover","Dazebox Home T triphasé 32 A, 22,2 kW, câble type 2 de 5 m, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320760788,May 2023,"€ 193,78","€ 3,15","€ 11,10","€ 208,03","1,5%","€ 2,50","39,0%",Italy,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DT01IT32T7,,AC Chargers,Dazebox Home,Dazebox Home T,"Dazebox Home T three-phase 32 A, 22.2 kW, 7 m Type 2 cable, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated shunt trip coil, white cover.","Dazebox Home T trifase 32 A, 22,2 kW, cavo 7 m tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, bobina di sgancio integrata, cover bianca",,"Dazebox Home T dreiphasig 32 A, 22,2 kW, Typ-2-Kabel 7 m, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierte Auslösespule, weiße cover","Dazebox Home T triphasé 32 A, 22,2 kW, câble type 2 de 7 m, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320760795,May 2023,"€ 213,74","€ 3,15","€ 11,10","€ 227,99","1,5%","€ 2,50","39,0%",Italy,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DS01IT32M,,AC Chargers,Dazebox Home,Dazebox Home S,"Dazebox Home S single-phase 32 A, 7.4 kW, Type 2 socket, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated shunt trip coil, white cover.","Dazebox Home S monofase 32 A, 7,4 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, bobina di sgancio integrata, cover bianca",,"Dazebox Home S einphasig 32 A, 7,4 kW, Typ-2-Steckdose, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierte Auslösespule, weiße cover","Dazebox Home S monophasé 32 A, 7,4 kW, prise type 2, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320760801,May 2023,"€ 168,46","€ 4,03","€ 11,10","€ 183,59","1,5%","€ 2,50","39,0%",Italy,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DS01IT32T,,AC Chargers,Dazebox Home,Dazebox Home S,"Dazebox Home S three-phase 32 A, 22.2 kW, Type 2 socket, monochrome display, Bluetooth, WiFi and Ethernet connectivity, RFID reader, integrated shunt trip coil, white cover.","Dazebox Home S trifase 32 A, 22,2 kW, presa tipo 2, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, bobina di sgancio integrata, cover bianca",,"Dazebox Home S dreiphasig 32 A, 22,2 kW, Typ-2-Steckdose, monochromes Display, Bluetooth-, WiFi- und Ethernet-Konnektivität, RFID-Leser, integrierte Auslösespule, weiße cover","Dazebox Home S triphasé 32 A, 22,2 kW, prise type 2, écran monochrome, connectivité Bluetooth, WiFi et Ethernet, lecteur RFID, cover blanche",,8054320760818,May 2023,"€ 191,67","€ 4,03","€ 11,10","€ 206,80","1,5%","€ 2,50","37,0%",Italy,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Active
DK01IT32M5P,,AC Chargers,Dazebox Home,Dazebox Home TK,"Dazebox Home TK monofase 32 A, 7,4 kW, cavo 5 m tipo 2 con porta connettore, display monocromatico, connettività Bluetooth, WiFi e Ethernet, lettore RFID, protezione magnetotermica differenziale integrata, bobina di sgancio integrata",,,,,,8054320762652,November 2024,"€ 199,14","€ 3,42","€ 21,10","€ 223,66","1,5%","€ 2,50",,Italy,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Inactive
